animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed
CA14.01	CA	CA14	7	7	2019-02-11	194.8	FALSE	FALSE	FALSE	control	Female	Ross
CA14.02	CA	CA14	7	7	2019-02-11	160	FALSE	FALSE	FALSE	control	Female	Ross
CA14.03	CA	CA14	8	7	2019-02-12	169.2	NA	NA	NA	control	Female	Ross
CA14.04	CA	CA14	8	7	2019-02-12	188	FALSE	FALSE	FALSE	control	Female	Ross
CA14.05	CA	CA14	8	7	2019-02-12	205.6	FALSE	FALSE	FALSE	control	Female	Ross
CA14.06	CA	CA14	7	7	2019-02-11	188.4	FALSE	FALSE	FALSE	control	Female	Ross
CA14.07	CA	CA14	21	21	2019-02-25	1067.6	FALSE	FALSE	FALSE	control	Female	Ross
CA14.08	CA	CA14	21	21	2019-02-25	1019.6	FALSE	FALSE	FALSE	control	Female	Ross
CA14.09	CA	CA14	21	21	2019-02-25	820.2	FALSE	FALSE	FALSE	control	Female	Ross
CA14.10	CA	CA14	22	21	2019-02-26	897.4	FALSE	FALSE	FALSE	control	Female	Ross
CA14.11	CA	CA14	22	21	2019-02-26	794	FALSE	FALSE	FALSE	control	Female	Ross
CA14.12	CA	CA14	22	21	2019-02-26	973.6	FALSE	FALSE	FALSE	control	Female	Ross
